0x1799f | les ebx, ptr [eax + 0x5e5b0000] ; pop edi ; pop ebp ; ret ; 
0x3c6c1 | pop eax ; add dword ptr [ebx - 0x2776f73c], eax ; pop ebx ; ret ; 
0x3d161 | pop ecx ; add ecx, 0xa ; mov dword ptr [edx], ecx ; ret ; 
0x3d163 | ror dword ptr [edx], 0 ; add byte ptr [eax], al ; mov dword ptr [edx], ecx ; ret ; 
0x3d164 | or al, byte ptr [eax] ; add byte ptr [eax], al ; mov dword ptr [edx], ecx ; ret ; 
0x3d4fd | rol byte ptr [ebx - 0x177cfd20], 1 ; pop ebx ; pop esi ; ret ; 
0x3d501 | sub eax, 1 ; pop ebx ; pop esi ; ret ; 
0x3da05 | ljmp 0x5b58:0x789e0d3 ; pop esi ; pop edi ; ret ; 
0x3da65 | ljmp 0x5b58:0x789e8d3 ; pop esi ; pop edi ; ret ; 
0x3e2b1 | stosd dword ptr es:[edi], eax ; add eax, 0xc4830000 ; adc cl, ch ; ret ; 
0x3e39e | add byte ptr es:[ebx + 0x5e5b1cc4], al ; pop edi ; pop ebp ; ret ; 
0x3eb89 | mov dword ptr [esp], eax ; fld dword ptr [esp] ; add esp, 4 ; ret ; 
0x3eb8a | add al, 0x24 ; fld dword ptr [esp] ; add esp, 4 ; ret ; 
0x3ebfd | and al, 4 ; fld qword ptr [esp] ; add esp, 0xc ; ret ; 
0x3ebfe | add al, 0xdd ; add al, 0x24 ; add esp, 0xc ; ret ; 
0x3ec56 | add al, 0xdb ; sub al, 0x24 ; add esp, 0x1c ; ret ; 
0x40745 | adc al, 0 ; add byte ptr [edi], cl ; mov esi, 0x89998304 ; ret ; 
0x448f6 | adc byte ptr [ecx + 0x5bf88906], cl ; pop esi ; pop edi ; ret ; 
0x44be0 | pop esi ; pop edi ; add eax, ecx ; ret ; 
0x471fa | sbb byte ptr [ebx + 0x5e5b5cc4], al ; pop edi ; pop ebp ; ret ; 
0x47e8f | add dword ptr [eax], eax ; add byte ptr [edi], cl ; inc esp ; ret ; 
0x487db | push eax ; add dword ptr [eax], eax ; add byte ptr [ebx - 0x7cdbdb8c], cl ; ret ; 
0x496e5 | outsd dx, dword ptr [esi] ; add dword ptr [eax], eax ; add esp, 0x1c ; ret ; 
0x5071f | add byte ptr [ecx + 0x400fb], al ; add byte ptr [edi], cl ; dec esi ; ret ; 
0x50722 | add byte ptr [eax + eax], al ; add byte ptr [edi], cl ; dec esi ; ret ; 
0x50723 | add al, 0 ; add byte ptr [edi], cl ; dec esi ; ret ; 
0x562bf | add byte ptr [ebx + 0x75ff0cec], al ; or al, ch ; movsd dword ptr es:[edi], dword ptr [esi] ; ret ; 
0x5942f | add byte ptr [eax], al ; add cl, ch ; pop esp ; ret ; 
0x5b5d2 | and byte ptr [ebx + 0x5e5b1cc4], al ; pop edi ; pop ebp ; ret ; 
0x5b850 | or dword ptr [eax + ebx], 0 ; add byte ptr [ebx + 0x5e], bl ; pop edi ; ret ; 
0x5b852 | sbb byte ptr [eax], al ; add byte ptr [ebx + 0x5e], bl ; pop edi ; ret ; 
0x5b8ae | add byte ptr es:[ebx - 0x3fcefb3c], al ; pop ebx ; pop esi ; ret ; 
0x5b918 | add esp, 0x1004 ; pop ebx ; pop esi ; ret ; 
0x5c017 | pop edx ; or byte ptr [ebx + 0x5b010442], al ; pop esi ; ret ; 
0x5c019 | add dword ptr [edx + 4], 1 ; pop ebx ; pop esi ; ret ; 
0x5c01b | add al, 1 ; pop ebx ; pop esi ; ret ; 
0x5cbd1 | mov eax, ecx ; pop esi ; pop edi ; ret ; 
0x5d1df | add byte ptr [ecx + 0x5bc88918], cl ; pop esi ; pop edi ; ret ; 
0x5d948 | add byte ptr [ebx + 0x5e5b7cc4], al ; pop edi ; pop ebp ; ret ; 
0x5e4a7 | add eax, dword ptr [ebx - 0x3b7cdff2] ; add al, 0x5b ; pop esi ; ret ; 
0x5e50c | push esp ; and al, 0xc ; add esp, 0x1c ; ret ; 
0x5e623 | ror byte ptr [ecx + 0x14c48303], 1 ; pop ebx ; pop esi ; ret ; 
0x5f8aa | inc edx ; or dword ptr [eax], eax ; add esp, 4 ; ret ; 
0x5fc62 | adc dword ptr [ecx + 0x14c483f0], ecx ; pop ebx ; pop esi ; ret ; 
0x60bcc | adc byte ptr [ecx + 0x5bf08932], cl ; pop esi ; pop edi ; ret ; 
0x60d22 | lea ecx, [edx + 4] ; mov dword ptr [eax], ecx ; mov eax, dword ptr [edx] ; ret ; 
0x60e84 | mov dword ptr [eax], ecx ; mov eax, dword ptr [edx] ; add esp, 0xc ; ret ; 
0x6136c | add al, byte ptr [ebx + 0x5e5b1cc4] ; pop edi ; pop ebp ; ret ; 
0x613c6 | les ebx, ptr [ecx*4 + 0x5e5b3704] ; pop edi ; pop ebp ; ret ; 
0x6177b | mov dword ptr [edx + 0x10], ebx ; mov dword ptr [ecx], eax ; pop ebx ; ret ; 
0x61b83 | test eax, 0x83ffff39 ; les ebx, ptr [eax] ; pop ebx ; ret ; 
0x61c2f | adc al, 0x5b ; pop esi ; pop edi ; ret ; 
0x6203f | mov dword ptr [eax], edx ; mov dword ptr [eax + 8], edx ; mov dword ptr [eax + 0x20], ecx ; ret ; 
0x620bd | or byte ptr [ecx - 0x3b7cc3ba], cl ; add al, 0x5b ; pop esi ; ret ; 
0x6234d | or cl, byte ptr [ebx + 0x8c48310] ; mov eax, edx ; pop ebx ; ret ; 
0x624dd | sbb byte ptr [ebp - 0x7cf18b2e], al ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x624df | sal byte ptr [esi + ecx - 0x7d], cl ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x62784 | or byte ptr [ebx + 0x4c48302], cl ; pop ebx ; pop esi ; ret ; 
0x62873 | dec dword ptr [ebx + 0x4c48302] ; pop ebx ; pop esi ; ret ; 
0x62a7a | sar eax, 2 ; sub eax, 1 ; pop ebx ; ret ; 
0x62b30 | add ch, byte ptr [ecx] ; rol bl, 1 ; mov eax, 0xffffffff ; ret ; 
0x62c50 | push dword ptr [edi + 0xd] ; pop ebx ; pop esi ; ret ; 
0x62c60 | mov eax, dword ptr [edx] ; pop ebx ; pop esi ; ret ; 
0x6327e | sar eax, 2 ; cdq ; pop ebp ; ret ; 
0x63613 | or al, 0x8b ; pop esi ; or byte ptr [ecx], ch ; ret ; 
0x65193 | add dword ptr [ebx - 0x3fcefb3c], eax ; pop ebx ; pop esi ; ret ; 
0x6538f | or byte ptr [eax], al ; pop ebx ; pop esi ; ret ; 
0x65396 | add byte ptr es:[ebx + 0xb89cfe1], al ; pop ebx ; pop esi ; ret ; 
0x65397 | add byte ptr [ebx + 0xb89cfe1], al ; pop ebx ; pop esi ; ret ; 
0x6539b | mov dword ptr [ebx], ecx ; pop ebx ; pop esi ; ret ; 
0x65540 | or dword ptr [eax], eax ; add byte ptr [eax], al ; mov eax, 0xffffffff ; ret ; 
0x65c89 | add byte ptr [ecx + 0x8c48302], cl ; xor eax, eax ; pop ebx ; ret ; 
0x65d15 | push 0 ; add byte ptr [ebx + 0x5e5b10c4], al ; pop edi ; ret ; 
0x66f8e | add byte ptr [eax], al ; mov eax, dword ptr [edx + 0x20] ; sub eax, dword ptr [edx + 0x1c] ; ret ; 
0x66fb8 | xor eax, eax ; test edx, edx ; setne al ; ret ; 
0x66fd2 | and al, 4 ; mov eax, dword ptr [eax] ; and eax, 0x804 ; ret ; 
0x6708e | mov eax, dword ptr [edx + 0x10] ; sub eax, dword ptr [edx + 0xc] ; sar eax, 2 ; ret ; 
0x6709e | add byte ptr [eax], al ; mov eax, dword ptr [edx + 0x14] ; sub eax, dword ptr [edx + 0x10] ; ret ; 
0x67294 | cmp ecx, dword ptr [ebp + 0x5e5bf465] ; pop edi ; pop ebp ; ret ; 
0x673e6 | or dword ptr [eax - 1], edi ; pop ebx ; pop esi ; ret ; 
0x67405 | add ecx, dword ptr [ecx - 0x3fcefbad] ; pop ebx ; pop esi ; ret ; 
0x6785e | mov dword ptr [ebx + 4], edx ; xor eax, eax ; pop ebx ; ret ; 
0x67cf1 | inc esp ; and al, 4 ; and dword ptr [eax], 0xffffffcf ; ret ; 
0x67d04 | mov eax, dword ptr [eax] ; shr eax, 4 ; and eax, 1 ; ret ; 
0x67d14 | mov eax, dword ptr [eax] ; shr eax, 5 ; and eax, 1 ; ret ; 
0x67f6e | sbb byte ptr [ebp - 0x7cf28a25], al ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x68371 | sal byte ptr [esp + ecx - 0x7d], 0xc4 ; add al, 0x5b ; pop esi ; ret ; 
0x6923a | add al, 0x8b ; pop esi ; or byte ptr [ecx], ch ; ret ; 
0x69d37 | sti ; add cl, byte ptr [edi] ; xchg eax, esi ; ret ; 
0x6a2a2 | add cl, byte ptr [ebp + 0x5e5bf465] ; pop edi ; pop ebp ; ret ; 
0x6a5fc | xchg eax, ebp ; or byte ptr [eax], al ; add esp, 4 ; ret ; 
0x6a9f7 | sub byte ptr [ebx + 0x5e5b1cc4], al ; pop edi ; pop ebp ; ret ; 
0x6acbc | mov dword ptr [eax + 0x24], ecx ; mov dword ptr [eax + 0xc], edx ; mov dword ptr [eax + 4], edx ; ret ; 
0x6acf2 | and al, 0x89 ; push eax ; add al, 0x5b ; ret ; 
0x6ad30 | adc byte ptr [ecx - 0x7c3fceed], cl ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x6aebb | adc byte ptr [ebx - 0x3b7cef3c], al ; add al, 0x5b ; pop esi ; ret ; 
0x6b149 | add dword ptr [ecx + 0x4c48306], ecx ; pop ebx ; pop esi ; ret ; 
0x6b15a | dec byte ptr [ecx + 0x4c48306] ; pop ebx ; pop esi ; ret ; 
0x6b19c | or eax, dword ptr [ebx + 0x5e5b0cc4] ; pop edi ; pop ebp ; ret ; 
0x6b602 | or byte ptr [eax], al ; add byte ptr [eax], al ; add bl, dh ; ret ; 
0x6b769 | xor byte ptr [ebp + 0xc], 0x83 ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0x6b7fa | add eax, dword ptr [ebx - 0x3b7c10dd] ; add al, 0x5b ; pop esi ; ret ; 
0x6b898 | sub eax, edx ; sub eax, 1 ; pop ebx ; ret ; 
0x6bf96 | lea edx, [eax + 0x30] ; mov eax, dword ptr [ecx] ; mov dword ptr [edx], eax ; ret ; 
0x6bfc6 | sub edx, dword ptr [eax + 0xc] ; mov eax, dword ptr [ecx + 8] ; sub eax, edx ; ret ; 
0x6bfd0 | sub edx, dword ptr [eax + 8] ; mov eax, dword ptr [ecx + 8] ; sub eax, edx ; ret ; 
0x6bfd5 | or byte ptr [ecx], ch ; rol bl, 1 ; mov eax, 0xffffffff ; ret ; 
0x6c291 | inc esp ; and al, 4 ; mov eax, dword ptr [eax + 0x34] ; ret ; 
0x6c29b | add byte ptr es:[eax], al ; add byte ptr [eax], al ; mov eax, dword ptr [esp + 4] ; ret ; 
0x6c29c | add byte ptr [eax], al ; add byte ptr [eax], al ; mov eax, dword ptr [esp + 4] ; ret ; 
0x6c2f6 | add byte ptr [ebx + 0x185c82], al ; add byte ptr [ecx], al ; pop ebx ; ret ; 
0x6c2fa | sbb byte ptr [eax], al ; add byte ptr [ecx], al ; pop ebx ; ret ; 
0x6c3b8 | fidiv dword ptr [ebx + 0x1d] ; movzx eax, byte ptr [edx] ; pop ebx ; ret ; 
0x6c9bb | pop edi ; cdq ; pop ebp ; ret ; 
0x6cacf | or edx, 2 ; or edx, 1 ; mov dword ptr [eax + 4], edx ; ret ; 
0x6d8c2 | add al, 0x8b ; inc eax ; or al, 0x83 ; ret ; 
0x6d8f0 | sbb al, 1 ; pop eax ; add al, 0x89 ; ret ; 
0x6d9c1 | pop es ; add byte ptr [ebx + 0x5e5b10c4], al ; pop edi ; ret ; 
0x6dc04 | test bh, dh ; add al, 0 ; add byte ptr [ecx], bh ; ret ; 
0x6e4d4 | adc al, 0x89 ; pop eax ; adc cl, ch ; ret ; 
0x6f2e4 | or byte ptr [ebp - 0x74cf7aa4], cl ; inc ebx ; or byte ptr [ecx], bh ; ret ; 
0x6f373 | xor byte ptr [ecx - 0x74f7db84], cl ; inc ebx ; or byte ptr [ecx], bh ; ret ; 
0x6f9d6 | dec ebp ; xor byte ptr [edi], cl ; xchg eax, ebp ; ret ; 
0x6fe6a | les ebx, ptr [ecx*4 + 0x5e5b0843] ; pop edi ; pop ebp ; ret ; 
0x700ae | mov esi, 0x8300083a ; les eax, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0x70dc8 | sbb byte ptr [eax], al ; add al, ch ; mov al, byte ptr [0x5b00082d] ; ret ; 
0x71221 | dec ebx ; sub dword ptr [eax], ecx ; add byte ptr [ecx + 0x5f5e5bd8], cl ; ret ; 
0x733b1 | cmp eax, -1 ; cmove eax, edx ; add esp, 0x1c ; ret ; 
0x7348e | adc byte ptr [ebx - 0xf76fb3c], al ; pop ebx ; pop esi ; ret ; 
0x73cd1 | add byte ptr [ecx + 0x4c483d8], cl ; pop ebx ; pop esi ; ret ; 
0x74f87 | push ecx ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x7523e | les ecx, ptr [edi + ecx] ; mov esi, 0x5f5e5bc2 ; pop ebp ; ret ; 
0x7523f | or al, 0xf ; mov esi, 0x5f5e5bc2 ; pop ebp ; ret ; 
0x75376 | or dword ptr [ebx + 0x5e5b1cc4], eax ; pop edi ; pop ebp ; ret ; 
0x75671 | stc ; add byte ptr [ecx + eax + 0x40], dh ; sub eax, dword ptr [esp + 4] ; ret ; 
0x75674 | add dword ptr [eax + 0x2b], eax ; inc esp ; and al, 4 ; ret ; 
0x75993 | lea eax, [esi + 3] ; pop esi ; pop edi ; ret ; 
0x75ae5 | adc byte ptr [ebp - 0x7c408a40], al ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x75ae7 | sal byte ptr [ebp - 0x41], 0x83 ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x764a6 | inc esi ; push edi ; fiadd word ptr [ecx] ; ret ; 
0x76596 | sbb byte ptr [ebx + 0x391c247c], cl ; fmul dword ptr [edi] ; inc edx ; ret ; 
0x7659a | sbb al, 0x39 ; fmul dword ptr [edi] ; inc edx ; ret ; 
0x768a9 | add byte ptr [ecx], al ; add byte ptr [eax], al ; pop ebx ; ret ; 
0x769db | dec ecx ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x76bc4 | add byte ptr [ecx + eax + 0x40], dh ; pop edi ; pop esi ; ret ; 
0x76bc7 | inc eax ; pop edi ; pop esi ; ret ; 
0x76c2d | sbb eax, eax ; sbb eax, -1 ; pop ebx ; ret ; 
0x76cbd | test dword ptr [0x5e000002], eax ; xor eax, eax ; pop ebx ; ret ; 
0x76cbe | add eax, 0x5e000002 ; xor eax, eax ; pop ebx ; ret ; 
0x76d31 | test dword ptr [ebp + 0x5e000001], esp ; xor eax, eax ; pop ebx ; ret ; 
0x76e3c | test dword ptr [edx + 0x5e000000], ebx ; xor eax, eax ; pop ebx ; ret ; 
0x76edd | sbb eax, -1 ; pop esi ; pop ebx ; ret ; 
0x76ede | fdivr st(7) ; pop esi ; pop ebx ; ret ; 
0x76fb1 | mov eax, dword ptr [esp + 8] ; cld ; pop edi ; ret ; 
0x76fb3 | and al, 8 ; cld ; pop edi ; ret ; 
0x770ec | rep movsd dword ptr es:[edi], dword ptr [esi] ; xchg eax, edi ; mov esi, edx ; ret ; 
0x770ed | movsd dword ptr es:[edi], dword ptr [esi] ; xchg eax, edi ; mov esi, edx ; ret ; 
0x771ab | mov esi, edx ; cld ; pop edi ; ret ; 
0x771ac | salc ; cld ; pop edi ; ret ; 
0x77220 | mov ecx, edx ; rep stosb byte ptr es:[edi], al ; pop edi ; ret ; 
0x77221 | sal ebx, 1 ; stosb byte ptr es:[edi], al ; pop edi ; ret ; 
0x77238 | and al, 4 ; cmove eax, edx ; add eax, 1 ; ret ; 
0x77270 | cmove eax, edx ; add eax, 0x21 ; pop ebx ; ret ; 
0x77288 | cmove eax, edx ; add eax, 1 ; pop ebx ; ret ; 
0x77366 | add dword ptr [eax + 0x5bf88927], ecx ; pop esi ; pop edi ; ret ; 
0x7744b | add byte ptr [ecx + 0x75], cl ; stc ; pop esi ; ret ; 
0x7787d | xor al, byte ptr [ebx + 0x5e5b0cc4] ; pop edi ; pop ebp ; ret ; 
0x77a41 | imul ebx, dword ptr [ebx + ebx*2], 0x5e ; pop edi ; pop ebp ; ret ; 
0x77c9f | add dword ptr [ecx + 0x5bf08907], ecx ; pop esi ; pop edi ; ret ; 
0x77e11 | rol byte ptr [ebx + 0x5e5b18c4], 1 ; pop edi ; pop ebp ; ret ; 
0x77e14 | sbb byte ptr [ebx + 0x5e], bl ; pop edi ; pop ebp ; ret ; 
0x78869 | add dword ptr [edi - 0x1c], edi ; pop ebx ; pop esi ; ret ; 
0x790f2 | add eax, edx ; pop edi ; pop ebp ; ret ; 
0x7919a | clc ; inc ebx ; lea eax, [edx - 0x138e50] ; ret ; 
0x7926e | add bh, bh ; add byte ptr [ecx + eax + 0x40], dh ; pop edi ; ret ; 
0x793d7 | add eax, 0x174d138 ; inc eax ; pop edi ; ret ; 
0x796a0 | fadd dword ptr [ebx - 0x2776fb3c] ; pop ebx ; pop esi ; ret ; 
0x79dbb | sbb byte ptr [ebx + 0x5e5b04c4], al ; pop edi ; pop ebp ; ret ; 
0x7b2f3 | or byte ptr [esi], dl ; pop ebx ; pop esi ; ret ; 
0x7b2f4 | push ss ; pop ebx ; pop esi ; ret ; 
0x7c452 | push ebp ; sal byte ptr [ecx], 1 ; sar byte ptr [eax], cl ; ret ; 
