0xbab23 | adc al, 0x30 ; in eax, dx ; mov byte ptr [rdi + 0x15], ch ; ret ; 
0xd0e4f | add byte ptr [rax - 0x39], cl ; rol byte ptr [rbx], 0 ; add byte ptr [rax], al ; ret ; 
0xd0e2f | add byte ptr [rax - 0x39], cl ; rol byte ptr [rcx], 0 ; add byte ptr [rax], al ; ret ; 
0xd0e8f | add byte ptr [rax - 0x39], cl ; rol byte ptr [rdi], 0 ; add byte ptr [rax], al ; ret ; 
0xd0e3f | add byte ptr [rax - 0x39], cl ; rol byte ptr [rdx], 0 ; add byte ptr [rax], al ; ret ; 
0xd0e7f | add byte ptr [rax - 0x39], cl ; rol byte ptr [rsi], 0 ; add byte ptr [rax], al ; ret ; 
0xe9947 | add byte ptr [rax - 0x73], cl ; add bl, byte ptr [r11 + 0x5d] ; pop r12 ; ret ; 
0x11f6e7 | add byte ptr [rax - 0x73], cl ; add eax, 0x960e9 ; pop rbx ; ret ; 
0xe9837 | add byte ptr [rax - 0x73], cl ; or byte ptr [r11 + 0x5d], bl ; pop r12 ; ret ; 
0x1180f8 | add byte ptr [rax - 0x73], cl ; push rsi ; add dword ptr [rbp - 0x2f], esi ; ret ; 
0x199438 | add byte ptr [rax - 0x75], cl ; add al, 0x24 ; add rsp, 0x38 ; ret ; 
0x15994f | add byte ptr [rax - 0x75], cl ; add eax, 0x291531 ; pop rbx ; ret ; 
0x15988f | add byte ptr [rax - 0x75], cl ; add eax, 0x291659 ; pop rbx ; ret ; 
0x1597cf | add byte ptr [rax - 0x75], cl ; add eax, 0x291809 ; pop rbx ; ret ; 
0x14742c | add byte ptr [rax - 0x75], cl ; push rax ; sbb byte ptr [rax - 0x77], cl ; ret ; 
0x1245ee | add byte ptr [rax - 0x75], cl ; sbb byte ptr [rsi - 0x7d], spl ; add byte ptr [rcx], al ; ret ; 
0x16686f | add byte ptr [rax - 0x77], cl ; add ebx, dword ptr [rax + 0x5a] ; pop rbx ; ret ; 
0x8fa3b | add byte ptr [rax - 0x77], cl ; imul esp, dword ptr [rax + 0x5b], 0x5d ; pop r12 ; ret ; 
0x8a8d3 | add byte ptr [rax - 0x77], cl ; mov edx, 0x130 ; pop rbx ; ret ; 
0x14ef92 | add byte ptr [rax - 0x77], cl ; push rbx ; push 0x5c415d5b ; ret ; 
0x1663ac | add byte ptr [rax - 0x77], cl ; sbb byte ptr [r8 + 0x5a], bl ; pop rbx ; ret ; 
0xb17bf | add byte ptr [rax - 0x7b], cl ; div byte ptr [rbp + 4] ; xor rax, rax ; ret ; 
0x514ef | add byte ptr [rax - 0x7d], cl ; rol byte ptr [rcx], 0x5b ; ret ; 
0xe4330 | add byte ptr [rax], 0 ; add al, ch ; push rdi ; ret ; 
0x132da1 | add byte ptr [rax], 0 ; add byte ptr [rax - 0x77], cl ; imul eax ; ret ; 
0x9210b | add byte ptr [rax], 0 ; add byte ptr [rax], al ; add rsp, 8 ; ret ; 
0x3e4ab | add byte ptr [rax], 0 ; add byte ptr [rax], al ; addss xmm0, xmm0 ; ret ; 
0x15df3b | add byte ptr [rax], 0 ; add byte ptr [rax], al ; mov eax, dword ptr [rdi + 0x28] ; ret ; 
0x8275b | add byte ptr [rax], 0 ; add byte ptr [rcx + rcx*4 - 0x40], al ; pop rbx ; ret ; 
0xe4331 | add byte ptr [rax], al ; add al, ch ; push rdi ; ret ; 
0xd0bef | add byte ptr [rax], al ; add bl, al ; mov eax, 2 ; ret ; 
0xe67c8 | add byte ptr [rax], al ; add bl, al ; nop dword ptr [rax] ; ret ; 
0x155fdc | add byte ptr [rax], al ; add bl, al ; xor eax, eax ; ret ; 
0x3e4ad | add byte ptr [rax], al ; add bl, dh ; addps xmm0, xmm0 ; ret ; 
0xfd0ba | add byte ptr [rax], al ; add byte ptr [rax + 0x63], cl ; add cl, byte ptr [rax - 0x77] ; ret ; 
0x1404c2 | add byte ptr [rax], al ; add byte ptr [rax + 0x63], cl ; fisttp dword ptr [rax + 1] ; ret ; 
0xd08c3 | add byte ptr [rax], al ; add byte ptr [rax + rbp*2 + 0x48], dh ; lea eax, [rdi - 0x10] ; ret ; 
0x2b6bb | add byte ptr [rax], al ; add byte ptr [rax - 0x73], cl ; add dword ptr [rax + 0x39], r9d ; ret ; 
0x2b6d9 | add byte ptr [rax], al ; add byte ptr [rax - 0x73], cl ; add r9b, byte ptr [rax + 0x39] ; ret ; 
0x2b6f7 | add byte ptr [rax], al ; add byte ptr [rax - 0x73], cl ; add r9d, dword ptr [rax + 0x39] ; ret ; 
0x14410a | add byte ptr [rax], al ; add byte ptr [rax - 0x73], cl ; and byte ptr [r8 - 0x7d], cl ; ret ; 
0x11fa9d | add byte ptr [rax], al ; add byte ptr [rax - 0x75], cl ; pop rax ; ret ; 
0xe13fd | add byte ptr [rax], al ; add byte ptr [rax - 0x75], cl ; sbb byte ptr [r8 - 0x7d], r9b ; ret ; 
0x126ac2 | add byte ptr [rax], al ; add byte ptr [rax - 0x77], cl ; fucomip st(0) ; ret ; 
0x132da2 | add byte ptr [rax], al ; add byte ptr [rax - 0x77], cl ; imul eax ; ret ; 
0x162d6d | add byte ptr [rax], al ; add byte ptr [rax - 0x77], cl ; xor eax, eax ; ret ; 
0x1428ed | add byte ptr [rax], al ; add byte ptr [rax - 0x7c], al ; div byte ptr [rsp + rdx + 0x78] ; ret ; 
0x3d2bb | add byte ptr [rax], al ; add byte ptr [rax - 1], bh ; pop rbx ; ret ; 
0x3d16b | add byte ptr [rax], al ; add byte ptr [rax], al ; add byte ptr [rax - 0x39], cl ; ret ; 
0x9bdcb | add byte ptr [rax], al ; add byte ptr [rax], al ; add byte ptr [rax - 0x77], cl ; ret ; 
0xbb0cb | add byte ptr [rax], al ; add byte ptr [rax], al ; add byte ptr [rcx + 1], cl ; ret ; 
0x13e5db | add byte ptr [rax], al ; add byte ptr [rax], al ; add byte ptr [rcx - 0xa], al ; ret ; 
0xd0e0c | add byte ptr [rax], al ; add byte ptr [rax], al ; add rax, 3 ; ret ; 
0x3e4ac | add byte ptr [rax], al ; add byte ptr [rax], al ; addss xmm0, xmm0 ; ret ; 
0x114d54 | add byte ptr [rax], al ; add byte ptr [rax], al ; cmova eax, edx ; ret ; 
0x123447 | add byte ptr [rax], al ; add byte ptr [rax], al ; cmovb rax, rdx ; ret ; 
0xa1436 | add byte ptr [rax], al ; add byte ptr [rax], al ; cmovne rax, rdi ; ret ; 
0x19389c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 0xa] ; ret ; 
0x1938ac | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 0xb] ; ret ; 
0x1938bc | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 0xc] ; ret ; 
0x1938cc | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 0xd] ; ret ; 
0x1938dc | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 0xe] ; ret ; 
0x19381c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 1] ; ret ; 
0x19382c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 2] ; ret ; 
0x19383c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 3] ; ret ; 
0x19384c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 4] ; ret ; 
0x19385c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 5] ; ret ; 
0x19386c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 6] ; ret ; 
0x19387c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 8] ; ret ; 
0x19388c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi + 9] ; ret ; 
0xd08fc | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi - 0xc] ; ret ; 
0xd091c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi - 4] ; ret ; 
0xd090c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi - 8] ; ret ; 
0x19380c | add byte ptr [rax], al ; add byte ptr [rax], al ; lea rax, [rdi] ; ret ; 
0x7be4c | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, 0x10 ; ret ; 
0xe66cc | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, 0x7d00 ; ret ; 
0xe66dc | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, 0x7e ; ret ; 
0xf40fc | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, 0xc ; ret ; 
0xe670c | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, 0xfc17 ; ret ; 
0x12e80c | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, 7 ; ret ; 
0x15df3c | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, dword ptr [rdi + 0x28] ; ret ; 
0xefeac | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, dword ptr [rdi + 0x4c] ; ret ; 
0x127f8c | add byte ptr [rax], al ; add byte ptr [rax], al ; mov eax, edx ; ret ; 
0x15e408 | add byte ptr [rax], al ; add byte ptr [rax], al ; mov qword ptr [rdi + 8], rax ; ret ; 
0x14dc9a | add byte ptr [rax], al ; add byte ptr [rax], al ; mov qword ptr [rsi + 0x10], rax ; ret ; 
0x11fa9c | add byte ptr [rax], al ; add byte ptr [rax], al ; mov rax, qword ptr [rax + 0x58] ; ret ; 
0x8fe0c | add byte ptr [rax], al ; add byte ptr [rax], al ; mov rax, qword ptr [rdi + 0x68] ; ret ; 
0x8d17c | add byte ptr [rax], al ; add byte ptr [rax], al ; movzx eax, byte ptr [rdx] ; ret ; 
0x10f4d4 | add byte ptr [rax], al ; add byte ptr [rbp + 0x10], dh ; add rsp, 0x28 ; ret ; 
0x8a1c1 | add byte ptr [rax], al ; add byte ptr [rbp + 0x11], dh ; add rsp, 0x48 ; ret ; 
0x7bca0 | add byte ptr [rax], al ; add byte ptr [rbp + 0x12], dh ; add rsp, 0x18 ; ret ; 
0x115d1b | add byte ptr [rax], al ; add byte ptr [rbp + 0x1b], dh ; add rsp, 0x38 ; ret ; 
0x121829 | add byte ptr [rax], al ; add byte ptr [rbp + 0x1d], dh ; add rsp, 0x78 ; ret ; 
0xd5ebe | add byte ptr [rax], al ; add byte ptr [rbp + 0x22], dh ; add rsp, 0x28 ; ret ; 
0x15a5fc | add byte ptr [rax], al ; add byte ptr [rbp + 0x27], dh ; add rsp, 0x28 ; ret ; 
0x16341b | add byte ptr [rax], al ; add byte ptr [rbp + 0x2c], dh ; add rsp, 0x18 ; ret ; 
0x9f26d | add byte ptr [rax], al ; add byte ptr [rbp + 0x31], al ; ror byte ptr [rcx - 0x39], cl ; ret ; 
0x11795d | add byte ptr [rax], al ; add byte ptr [rbp + 0x3b], dh ; add rsp, 0x68 ; ret ; 
0x166743 | add byte ptr [rax], al ; add byte ptr [rbp + 0x3e], dh ; add rsp, 0x78 ; ret ; 
0x118b01 | add byte ptr [rax], al ; add byte ptr [rbp + 0x3f], dh ; add rsp, 0x38 ; ret ; 
0x118bd0 | add byte ptr [rax], al ; add byte ptr [rbp + 0x40], dh ; add rsp, 0x38 ; ret ; 
0x10fdc4 | add byte ptr [rax], al ; add byte ptr [rbp + 0x42], dh ; add rsp, 0x58 ; ret ; 
0x10ffe9 | add byte ptr [rax], al ; add byte ptr [rbp + 0x45], dh ; add rsp, 0x58 ; ret ; 
0x12375c | add byte ptr [rax], al ; add byte ptr [rbp + 0x4a], dh ; add rsp, 0x58 ; ret ; 
0x110714 | add byte ptr [rax], al ; add byte ptr [rbp + 0x4a], dh ; add rsp, 0x68 ; ret ; 
0x13b3fa | add byte ptr [rax], al ; add byte ptr [rbp + 0x59], dh ; add rsp, 0x38 ; ret ; 
0x1667ca | add byte ptr [rax], al ; add byte ptr [rbp + 0x64], dh ; add rsp, 0x38 ; ret ; 
0x16649c | add byte ptr [rax], al ; add byte ptr [rbp + 0x6d], dh ; add rsp, 0x58 ; ret ; 
0x166574 | add byte ptr [rax], al ; add byte ptr [rbp + 0x78], dh ; add rsp, 0x68 ; ret ; 
0x15c4de | add byte ptr [rax], al ; add byte ptr [rbp + 5], dh ; add rsp, 0x48 ; ret ; 
0x150178 | add byte ptr [rax], al ; add byte ptr [rbp + 5], dh ; add rsp, 0x58 ; ret ; 
0x2bf19 | add byte ptr [rax], al ; add byte ptr [rbx + 0x41], bl ; pop rsp ; ret ; 
0x192418 | add byte ptr [rax], al ; add byte ptr [rbx + rax - 9], bh ; fadd st(3) ; ret ; 
0x43b7b | add byte ptr [rax], al ; add byte ptr [rbx - 0x75], bl ; pop rax ; ret ; 
0x85e14 | add byte ptr [rax], al ; add byte ptr [rcx + 0x2b], cl ; and byte ptr [r8 + 1], r9b ; ret ; 
0x8275c | add byte ptr [rax], al ; add byte ptr [rcx + rcx*4 - 0x40], al ; pop rbx ; ret ; 
0x9d61f | add byte ptr [rax], al ; add byte ptr [rcx], dh ; ror byte ptr [rax - 0x77], 0x37 ; ret ; 
0xbcdd2 | add byte ptr [rax], al ; add byte ptr [rdi + 2], bh ; neg eax ; ret ; 
0x195662 | add byte ptr [rax], al ; add byte ptr [rdi + 9], bh ; neg eax ; ret ; 
0x156836 | add byte ptr [rax], al ; add byte ptr [rdi], cl ; adc dword ptr [rdi + 0x20], eax ; ret ; 
0x1567fe | add byte ptr [rax], al ; add byte ptr [rdi], cl ; adc dword ptr [rdi + 0x30], eax ; ret ; 
0x10f3aa | add byte ptr [rax], al ; add byte ptr [rdi], cl ; adc dword ptr [rsi + 0x70], eax ; ret ; 
0x8d17d | add byte ptr [rax], al ; add byte ptr [rdi], cl ; mov dh, 2 ; ret ; 
0x7be5e | add byte ptr [rax], al ; add dword ptr [rdx + 4], 1 ; xor eax, eax ; ret ; 
0x9be38 | add byte ptr [rax], al ; add rsp, 0x10 ; pop rbx ; ret ; 
0x3eb18 | add byte ptr [rax], al ; add rsp, 0x20 ; pop rbx ; ret ; 
0x5891c | add byte ptr [rax], al ; add rsp, 0x30 ; pop rbx ; ret ; 
0x5223b | add byte ptr [rax], al ; add rsp, 0x50 ; pop rbx ; ret ; 
0x121684 | add byte ptr [rax], al ; and eax, 0xfffff000 ; or eax, edx ; ret ; 
0x8759e | add byte ptr [rax], al ; and ecx, 0xffffffcf ; mov dword ptr [rdi], ecx ; ret ; 
0xb1384 | add byte ptr [rax], al ; bsr rax, rax ; add rax, rdi ; ret ; 
0x130f77 | add byte ptr [rax], al ; cmova eax, edx ; add rsp, 0x28 ; ret ; 
0x117727 | add byte ptr [rax], al ; cmove rax, rbx ; pop rbx ; ret ; 
0xbba49 | add byte ptr [rax], al ; cmove rax, rdx ; pop rbx ; ret ; 
0xa1353 | add byte ptr [rax], al ; cmovne rax, rdx ; pop rbx ; ret ; 
0xe458f | add byte ptr [rax], al ; cmovne rdx, rax ; mov rax, rdx ; ret ; 
0x129f6f | add byte ptr [rax], al ; cmovns rax, qword ptr [rbx + 0x28] ; pop rbx ; ret ; 
0xedb96 | add byte ptr [rax], al ; mov byte ptr [rdi + 8], 2 ; xor eax, eax ; ret ; 
0xb7e9e | add byte ptr [rax], al ; mov byte ptr [rdi], dh ; lea rax, [rdi] ; ret ; 
0xa846e | add byte ptr [rax], al ; mov byte ptr [rdi], sil ; add rax, rdi ; ret ; 
0xb756e | add byte ptr [rax], al ; mov dl, byte ptr [rsi] ; mov byte ptr [rdi], dl ; ret ; 
0x10eb4e | add byte ptr [rax], al ; mov dword ptr [rdi + 4], esi ; xor eax, eax ; ret ; 
0xa865e | add byte ptr [rax], al ; mov dword ptr [rdi], ecx ; lea rax, [rdi + rax - 1] ; ret ; 
0x3d2bc | add byte ptr [rax], al ; mov eax, 0xffffffff ; pop rbx ; ret ; 
0x8fb1e | add byte ptr [rax], al ; mov eax, dword ptr [rdi + 0x10] ; sub eax, dword ptr [rsi + 0x10] ; ret ; 
0x893be | add byte ptr [rax], al ; mov eax, dword ptr [rdi] ; and eax, 0x200 ; ret ; 
0x8938e | add byte ptr [rax], al ; mov eax, dword ptr [rdi] ; and eax, 0x804 ; ret ; 
0x9c05f | add byte ptr [rax], al ; mov eax, ebx ; pop rbx ; ret ; 
0x134d2e | add byte ptr [rax], al ; mov eax, edi ; bswap eax ; ret ; 
0x8275d | add byte ptr [rax], al ; mov eax, r8d ; pop rbx ; ret ; 
0x163a0b | add byte ptr [rax], al ; mov edx, 0xffffffff ; mov eax, edx ; ret ; 
0x162d6e | add byte ptr [rax], al ; mov qword ptr [rsi], rdi ; xor eax, eax ; ret ; 
0x159689 | add byte ptr [rax], al ; mov qword ptr fs:[rbx], rax ; pop rbx ; ret ; 
0x86bce | add byte ptr [rax], al ; mov rax, qword ptr [rdi + 0x48] ; mov eax, dword ptr [rax + 0x4c] ; ret ; 
0x16379a | add byte ptr [rax], al ; mov rax, rdx ; add rsp, 8 ; ret ; 
0x44834 | add byte ptr [rax], al ; mov word ptr [rsi + 0xe], ax ; xor eax, eax ; ret ; 
0xbba8e | add byte ptr [rax], al ; movzx eax, cl ; pop rbx ; ret ; 
0x15e169 | add byte ptr [rax], al ; nop dword ptr [rax + rax] ; xor eax, eax ; ret ; 
0x81642 | add byte ptr [rax], al ; nop dword ptr [rax] ; mov eax, edi ; ret ; 
0x43b7c | add byte ptr [rax], al ; pop rbx ; mov eax, dword ptr [rax + 0x58] ; ret ; 
0x2bf1a | add byte ptr [rax], al ; pop rbx ; pop r12 ; ret ; 
0x10ea56 | add byte ptr [rax], al ; shr ecx, 3 ; rep stosq qword ptr [rdi], rax ; ret ; 
0x3db84 | add byte ptr [rax], al ; sub eax, edx ; sar eax, 0x10 ; ret ; 
0x140e60 | add byte ptr [rax], al ; sub esi, 1 ; mov byte ptr [rdi + 1], sil ; ret ; 
0x8f0d6 | add byte ptr [rax], al ; sub r8, rcx ; lea eax, [r8 - 1] ; ret ; 
0xba8ee | add byte ptr [rax], al ; xor ch, ch ; mov byte ptr [rdi], ch ; ret ; 
0x9d620 | add byte ptr [rax], al ; xor eax, eax ; mov qword ptr [rdi], rsi ; ret ; 
0xba8ef | add byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi], ch ; ret ; 
0x8759d | add byte ptr [rax], r8b ; and ecx, 0xffffffcf ; mov dword ptr [rdi], ecx ; ret ; 
0xedb95 | add byte ptr [rax], r8b ; mov byte ptr [rdi + 8], 2 ; xor eax, eax ; ret ; 
0xa853d | add byte ptr [rax], r8b ; mov byte ptr [rdi], 0 ; mov rax, rdi ; ret ; 
0x8fb1d | add byte ptr [rax], r8b ; mov eax, dword ptr [rdi + 0x10] ; sub eax, dword ptr [rsi + 0x10] ; ret ; 
0x134d2d | add byte ptr [rax], r8b ; mov eax, edi ; bswap eax ; ret ; 
0x14c7cd | add byte ptr [rax], r8b ; pop rbx ; ret ; 
0x81dcd | add byte ptr [rax], r8b ; xor esi, esi ; mov rax, rsi ; ret ; 
0xd5ff1 | add byte ptr [rbp + 0x13], dh ; add rsp, 0x30 ; pop rbx ; ret ; 
0x157ebe | add byte ptr [rbp + 0x1e], dh ; add rsp, 0x10 ; pop rbx ; ret ; 
0xcbe0e | add byte ptr [rbp + 0x23], dh ; add rsp, 0x20 ; pop rbx ; ret ; 
0x15c5b7 | add byte ptr [rbp + 0x38], dh ; add rsp, 0x10 ; pop rbx ; ret ; 
0x15ca77 | add byte ptr [rbp + 0x3a], dh ; add rsp, 0x10 ; pop rbx ; ret ; 
0x91670 | add byte ptr [rbp + 0x3b], dh ; add rsp, 0x50 ; pop rbx ; ret ; 
0x15cc97 | add byte ptr [rbp + 0x3f], dh ; add rsp, 0x10 ; pop rbx ; ret ; 
0x13992a | add byte ptr [rbp + 0x41], bl ; pop rsp ; pop r13 ; ret ; 
0x7b5de | add byte ptr [rbp + 0x480d75c0], al ; mov eax, ebx ; pop rbx ; ret ; 
0x10f63f | add byte ptr [rbp + 0x49], dh ; add rsp, 0x10 ; pop rbx ; ret ; 
0x110842 | add byte ptr [rbp + 0x67], dh ; add rsp, 0x30 ; pop rbx ; ret ; 
0x1545aa | add byte ptr [rbp + 0x7e], dh ; add rsp, 0x20 ; pop rbx ; ret ; 
0x157b52 | add byte ptr [rbp + 6], dh ; add rsp, 0x10 ; pop rbx ; ret ; 
0x9be15 | add byte ptr [rbp - 0x7ad98140], al ; fisttp dword ptr [rdi] ; xchg eax, esp ; ret ; 
0xbbb24 | add byte ptr [rbx - 0x3d], bl ; mov eax, 0x40 ; pop rbx ; ret ; 
0x11c59a | add byte ptr [rcx + 0x5b], bl ; pop rbp ; pop r12 ; ret ; 
0x8d170 | add byte ptr [rcx + 0x5c], al ; pop r13 ; pop r14 ; ret ; 
0x65e48 | add byte ptr [rcx + 0xf], al ; mov dh, 0x46 ; or al, 0x83 ; ret ; 
0x195986 | add byte ptr [rcx + 9], cl ; fimul dword ptr [rdi] ; xchg eax, ebp ; ret ; 
0xe6867 | add byte ptr [rcx - 0x48], dh ; add dword ptr [rax], eax ; add byte ptr [rax], al ; ret ; 
